batch	type	question	answer	complete
1	correct	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - John"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Paris - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Paris - John"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Berlin - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Berlin - John"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Madrid - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Madrid - John"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Chicago - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Chicago - John"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Istanbul - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Istanbul - John"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - "	Alice	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - Alice"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - "	Bob	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - Bob"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - "	Peter	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in USA, Washington - Peter"
1	corrupted	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in Spain, Washington - "	John	"Alice lives in France, Paris - Alice, Bob lives in Germany, Berlin - Bob, John lives in Spain, Washington - John"
2	correct	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - Bob"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Ankara - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Ankara - Bob"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Rome - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Rome - Bob"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Berlin - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Berlin - Bob"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Marseille - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Marseille - Bob"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Toronto - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Toronto - Bob"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - "	Peter	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - Peter"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - "	Alice	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - Alice"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - "	John	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in France, Paris - John"
2	corrupted	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in Portugal, Paris - "	Bob	"Peter lives in Turkey, Ankara - Peter, Alice lives in Italy, Rome - Alice, Bob lives in Portugal, Paris - Bob"
